participant_code,participant_cost,payoff,USD_payoff,participant_mechanism,procedure1,procedure2,allocating_procedure,wta_Market,lulu_Market,lulu_compensation,lulu_collective_payoff,lulu_private_payoff,belief_payoff,comprehension_payoff,lottery_payoff,lulu_Market_expect,comprehension_question
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
y01oiva0,1,239.0,4.78,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,20,30,true,wta_Market_expect
c00p2my8,1,219.0,4.38,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,0,30,true,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
c00p2my8,1,219.0,4.38,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,0,30,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
c00p2my8,1,219.0,4.38,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,0,30,true,wta_Market_expect
y01oiva0,1,239.0,4.78,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,20,30,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
c00p2my8,1,219.0,4.38,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,0,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
y01oiva0,1,239.0,4.78,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,20,30,true,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
y01oiva0,1,239.0,4.78,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,20,30,true,wta_Market_expect
c00p2my8,1,219.0,4.38,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,0,30,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
spgfyy0g,0,181.0,3.62,Market,Market,Lottery,Market,40,true,42.0,24.0,10,0,0,30,false,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
y01oiva0,1,239.0,4.78,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
y01oiva0,1,239.0,4.78,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
58pafkjw,0,160.0,3.2,Market,Market,Lottery,Market,5,true,42.0,24.0,10,0,0,9,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
ys94uuyy,0,259.0,5.18,Market,Market,Lottery,Market,45,false,0.0,24.0,90,20,20,30,true,wta_Market_expect
c00p2my8,1,219.0,4.38,Lottery,Market,Lottery,Market,56,false,0.0,24.0,90,0,0,30,true,wta_Market_expect
